site_id,site_name,functional_zone,pollutant,average_time,observed_range,unit,reference_limit,compliance,monitoring_period,source_url,data_boundary
G6,科创区（独墅湖医院）,独墅湖科教创新区,硫化氢,1h,ND～3,μg/m3,10,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G1,胜浦（金淞湾花园西南侧）,高端制造与国际贸易区,硫酸雾,1h,ND～32,μg/m3,300,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G2,出口加工区（南侧空地）,高端制造与国际贸易区,硫酸雾,1h,ND～18,μg/m3,300,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G3,东沙湖,高端制造与国际贸易区,硫酸雾,1h,ND～25,μg/m3,300,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G4,金鸡湖学校苏桐路校区,金鸡湖商务区,硫酸雾,1h,ND～20,μg/m3,300,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G5,度假区（星湖医院）,阳澄湖半岛旅游度假区,硫酸雾,1h,ND～21,μg/m3,300,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G6,科创区（独墅湖医院）,独墅湖科教创新区,硫酸雾,1h,ND～13,μg/m3,300,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G1,胜浦（金淞湾花园西南侧）,高端制造与国际贸易区,氯化氢,1h,ND,μg/m3,50,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G2,出口加工区（南侧空地）,高端制造与国际贸易区,氯化氢,1h,ND,μg/m3,50,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G3,东沙湖,高端制造与国际贸易区,氯化氢,1h,ND,μg/m3,50,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G4,金鸡湖学校苏桐路校区,金鸡湖商务区,氯化氢,1h,ND,μg/m3,50,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G5,度假区（星湖医院）,阳澄湖半岛旅游度假区,氯化氢,1h,ND,μg/m3,50,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G6,科创区（独墅湖医院）,独墅湖科教创新区,氯化氢,1h,ND,μg/m3,50,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G1,胜浦（金淞湾花园西南侧）,高端制造与国际贸易区,氯气,1h,ND,μg/m3,100,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G2,出口加工区（南侧空地）,高端制造与国际贸易区,氯气,1h,ND,μg/m3,100,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G3,东沙湖,高端制造与国际贸易区,氯气,1h,ND,μg/m3,100,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G4,金鸡湖学校苏桐路校区,金鸡湖商务区,氯气,1h,ND,μg/m3,100,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G5,度假区（星湖医院）,阳澄湖半岛旅游度假区,氯气,1h,ND,μg/m3,100,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G6,科创区（独墅湖医院）,独墅湖科教创新区,氯气,1h,ND,μg/m3,100,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G1,胜浦（金淞湾花园西南侧）,高端制造与国际贸易区,非甲烷总烃,1h,0.45～0.77,mg/m3,2,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G2,出口加工区（南侧空地）,高端制造与国际贸易区,非甲烷总烃,1h,0.45～0.73,mg/m3,2,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G3,东沙湖,高端制造与国际贸易区,非甲烷总烃,1h,0.45～0.69,mg/m3,2,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G4,金鸡湖学校苏桐路校区,金鸡湖商务区,非甲烷总烃,1h,0.46～0.68,mg/m3,2,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G5,度假区（星湖医院）,阳澄湖半岛旅游度假区,非甲烷总烃,1h,0.46～0.73,mg/m3,2,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G6,科创区（独墅湖医院）,独墅湖科教创新区,非甲烷总烃,1h,0.45～0.72,mg/m3,2,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G1,胜浦（金淞湾花园西南侧）,高端制造与国际贸易区,锡,1h,ND,mg/m3,0.06,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G2,出口加工区（南侧空地）,高端制造与国际贸易区,锡,1h,ND,mg/m3,0.06,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G3,东沙湖,高端制造与国际贸易区,锡,1h,ND,mg/m3,0.06,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G4,金鸡湖学校苏桐路校区,金鸡湖商务区,锡,1h,ND,mg/m3,0.06,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G5,度假区（星湖医院）,阳澄湖半岛旅游度假区,锡,1h,ND,mg/m3,0.06,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G6,科创区（独墅湖医院）,独墅湖科教创新区,锡,1h,ND,mg/m3,0.06,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G1,胜浦（金淞湾花园西南侧）,高端制造与国际贸易区,氮氧化物,1h,11～68,μg/m3,250,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G2,出口加工区（南侧空地）,高端制造与国际贸易区,氮氧化物,1h,24～96,μg/m3,250,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G3,东沙湖,高端制造与国际贸易区,氮氧化物,1h,14～60,μg/m3,250,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G4,金鸡湖学校苏桐路校区,金鸡湖商务区,氮氧化物,1h,12～53,μg/m3,250,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G5,度假区（星湖医院）,阳澄湖半岛旅游度假区,氮氧化物,1h,13～57,μg/m3,250,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G6,科创区（独墅湖医院）,独墅湖科教创新区,氮氧化物,1h,14～52,μg/m3,250,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G1,胜浦（金淞湾花园西南侧）,高端制造与国际贸易区,TSP,24h,51～101,μg/m3,300,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G2,出口加工区（南侧空地）,高端制造与国际贸易区,TSP,24h,59～94,μg/m3,300,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G3,东沙湖,高端制造与国际贸易区,TSP,24h,52～88,μg/m3,300,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G4,金鸡湖学校苏桐路校区,金鸡湖商务区,TSP,24h,52～83,μg/m3,300,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G5,度假区（星湖医院）,阳澄湖半岛旅游度假区,TSP,24h,57～88,μg/m3,300,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
G6,科创区（独墅湖医院）,独墅湖科教创新区,TSP,24h,68～86,μg/m3,300,达标,2026-06-01至06-02、06-05至06-09,https://www.sipac.gov.cn/gthbj/tzgg/202607/811e7861a2654de0915d0fb1514de9cc/files/1a981b7a7cec4237aa8a4259050606ab.pdf,7天短期特征因子监测快照，不代表全年均值或实时序列
